x,y,z,u,v,zeta
0.03125,-0.03125,0.0,-0.9765625,1.171875,12.5
0.03125,-0.046875,0.0,-0.9765625,1.3671875,12.5
0.03125,-0.0625,0.0,-0.78125,1.5625,-6.25
0.03125,-0.078125,0.0,-0.78125,1.5625,0.0
0.03125,-0.09375,0.0,-0.78125,1.5625,0.0
0.03125,-0.109375,0.0,-0.78125,1.5625,0.0
0.03125,-0.125,0.0,-0.78125,1.5625,0.0
0.03125,-0.140625,0.0,-0.78125,1.5625,0.0
0.03125,-0.15625,0.0,-0.78125,1.5625,0.0
0.03125,-0.171875,0.0,-0.78125,1.5625,0.0
0.03125,-0.1875,0.0,-0.78125,1.5625,12.5
0.03125,-0.203125,0.0,-0.9765625,1.5625,-12.5
0.03125,-0.21875,0.0,-0.78125,1.953125,-12.5
0.03125,-0.234375,0.0,-0.78125,1.953125,0.0
0.03125,-0.25,0.0,-0.78125,1.953125,0.0
0.03125,-0.265625,0.0,-0.78125,1.953125,-12.5
0.03125,-0.28125,0.0,-0.390625,2.34375,-187.5
0.03125,-0.296875,0.0,-0.390625,2.34375,162.5
0.03125,-0.3125,0.0,-0.9765625,0.0,118.75
0.03125,-0.328125,0.0,0.78125,-2.9296875,-81.25
0.03125,-0.34375,0.0,1.3671875,1.3671875,-137.5
0.03125,-0.359375,0.0,1.3671875,1.3671875,31.25
0.03125,-0.375,0.0,0.5859375,0.390625,200.0
0.03125,-0.390625,0.0,0.5859375,0.5859375,43.75
0.03125,-0.40625,0.0,-1.171875,0.5859375,-62.5
0.03125,-0.421875,0.0,-1.171875,0.5859375,-87.5
0.03125,-0.4375,0.0,-1.171875,0.5859375,-12.5
0.03125,-0.453125,0.0,0.390625,-1.7578125,-75.0
0.03125,-0.46875,0.0,0.390625,-1.7578125,-268.75
0.03125,-0.484375,0.0,-0.1953125,1.171875,-93.75
0.03125,-0.5,0.0,-0.1953125,1.171875,0.0
0.03125,-0.515625,0.0,-0.1953125,1.171875,31.25
0.03125,-0.53125,0.0,1.3671875,0.1953125,31.25
0.03125,-0.546875,0.0,1.3671875,0.1953125,0.0
0.03125,-0.5625,0.0,1.3671875,0.1953125,31.25
0.03125,-0.578125,0.0,0.5859375,-0.78125,0.0
0.03125,-0.59375,0.0,0.1953125,0.1953125,-31.25
0.03125,-0.609375,0.0,0.1953125,0.1953125,43.75
0.03125,-0.625,0.0,-0.78125,-1.171875,75.0
0.03125,-0.640625,0.0,0.0,0.5859375,31.25
0.03125,-0.65625,0.0,2.5390625,-2.1484375,137.5
0.03125,-0.671875,0.0,2.5390625,-2.1484375,-93.75
0.03125,-0.6875,0.0,-2.734375,2.34375,-381.25
0.03125,-0.703125,0.0,-2.734375,2.34375,6.25
0.03125,-0.71875,0.0,1.3671875,2.1484375,87.5
0.03125,-0.734375,0.0,0.1953125,2.734375,0.0
0.03125,-0.75,0.0,2.9296875,2.1484375,175.0
0.03125,-0.765625,0.0,0.1953125,-2.734375,250.0
0.03125,-0.78125,0.0,3.125,-2.5390625,106.25
0.03125,-0.796875,0.0,3.125,-2.5390625,-31.25
0.03125,-0.8125,0.0,1.3671875,1.953125,-18.75
0.03125,-0.828125,0.0,-1.953125,-1.953125,-81.25
0.03125,-0.84375,0.0,-0.9765625,-2.1484375,-93.75
0.03125,-0.859375,0.0,-0.9765625,-2.1484375,-237.5
0.03125,-0.875,0.0,-0.9765625,-2.1484375,-106.25
0.03125,-0.890625,0.0,-0.78125,-1.953125,-81.25
0.03125,-0.90625,0.0,0.0,0.0,-62.5
0.03125,-0.921875,0.0,0.0,0.0,0.0
0.03125,-0.9375,0.0,0.0,0.0,0.0
0.03125,-0.953125,0.0,0.0,0.0,0.0
0.03125,-0.96875,0.0,0.0,0.0,0.0
0.046875,-0.03125,0.0,-1.3671875,1.5625,-87.5
0.046875,-0.046875,0.0,-1.3671875,1.5625,50.0
0.046875,-0.0625,0.0,-0.78125,1.5625,62.5
